Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Cluster,Cluster_Label
0,-0.1676095619496201,1,3,High School,Married,$60K - $80K,Blue,0.3772338241050834,5,1,3,0.3401899164694039,0.3087008343265792,0.3451163329759801,1.335,0.0362596511295396,0.2580645161290322,1.625,0.061,5,VI
0,0.3298622218354624,0,5,Graduate,Single,Less than $40K,Blue,1.0020742237514215,6,1,2,0.2061116704002999,0.3432657926102503,0.2140932402283197,1.541,0.0446668573062625,0.1854838709677419,3.714,0.105,0,I
0,0.5785981137280036,1,3,Graduate,Married,$80K - $120K,Blue,0.0023295843172804,4,1,0,0.0598499895700124,0.0,0.0989482224089473,2.594,0.0787532170431798,0.0806451612903225,2.333,0.0,0,I
0,-0.7894492916809732,1,3,Uneducated,Married,$60K - $80K,Blue,-1.872191614621734,5,1,0,0.0990909283293578,0.0,0.1365572393011329,2.175,0.0175007148984844,0.1451612903225806,2.5,0.0,0,I
0,-0.2919775078958908,1,2,Graduate,Married,$40K - $60K,Blue,0.0023295843172804,3,1,2,0.0777472436112547,0.4954310687326182,0.0799698664271434,1.376,0.0330569059193594,0.1129032258064516,0.846,0.311,1,II
0,-1.162553129519785,1,3,Uneducated,Single,$60K - $80K,Blue,0.0023295843172804,5,2,0,0.6322598004093393,1.0,0.5746240547040246,3.355,0.0480411781527023,0.1129032258064516,1.182,0.113,0,I
0,0.2054942758891917,1,2,Graduate,Single,$80K - $120K,Blue,0.0023295843172804,6,3,3,0.3088999537452725,0.66626936829559,0.2890505027091241,1.524,0.053245639119245,0.1774193548387097,0.882,0.144,5,VI
0,1.2004378434593568,1,1,Graduate,Single,$80K - $120K,Blue,0.0023295843172804,3,6,0,0.3117719793093232,0.0,0.340393474922493,3.397,0.0588504432370603,0.0564516129032258,3.25,0.0,4,V
0,1.324805789405627,0,2,Graduate,Married,Less than $40K,Blue,1.5019465434684922,5,2,2,0.0301623147921409,0.2701628923321414,0.0507924550169501,1.19,0.06062339147841,0.1532258064516128,0.611,0.279,3,IV
0,0.2054942758891917,1,4,Post-Graduate,Single,$80K - $120K,Blue,0.0023295843172804,6,2,3,0.8745680624710909,0.9384187524831148,0.8113464491640832,1.708,0.0663997712324849,0.1370967741935483,0.929,0.078,5,VI
0,1.82227757319071,1,1,High School,Married,$40K - $60K,Blue,2.5016911829026336,2,2,3,0.0530478237604186,1.0,0.0194998985889375,1.831,0.0472404918501572,0.1612903225806451,1.143,0.788,4,V
0,0.0811263299429211,1,1,Doctorate,Single,$60K - $80K,Blue,0.7521380638928864,5,2,0,0.5907514730467959,0.7151370679380215,0.5556167241329354,0.906,0.0382041750071489,0.1370967741935483,0.929,0.086,0,I
1,1.9466455191369805,0,0,Graduate,Married,Less than $40K,Blue,1.6269146233977598,2,3,3,0.0,0.0,0.041587228001043,1.047,0.0104089219330855,0.0483870967741935,0.6,0.0,4,V
0,-0.6650813457347027,1,3,High School,Married,$40K - $60K,Blue,-0.3725746554705224,4,2,1,0.0916538937108686,0.2701628923321414,0.1097267696230406,1.608,0.0240777809551043,0.064516129032258,1.571,0.152,0,I
0,-0.6650813457347027,0,3,Graduate,Single,Less than $40K,Blue,-0.9974150551168608,6,1,2,0.1913585285554921,0.6630909813269765,0.1766290962825601,0.797,0.0309408064054904,0.0967741935483871,0.833,0.215,0,I
0,0.0811263299429211,1,4,High School,Married,$40K - $60K,Blue,0.7521380638928864,6,0,0,0.1011769258442999,0.5411203814064363,0.0990930953553733,0.739,0.0305976551329711,0.2258064516129032,0.9,0.285,0,I
0,0.8273340056205448,1,2,Uneducated,Married,$60K - $80K,Blue,1.5019465434684922,2,5,1,0.0306157925127805,0.6714342471195868,0.0219627386781792,1.323,0.0621103803259937,0.1290322580645161,1.6,0.69,4,V
0,-0.6650813457347027,1,4,Graduate,Married,$60K - $80K,Blue,0.0023295843172804,4,1,2,0.2262763130447401,1.0,0.1855242951931156,1.726,0.0617100371747211,0.1129032258064516,1.667,0.282,0,I
0,0.8273340056205448,0,2,Graduate,Married,Less than $40K,Blue,0.2522657441758157,5,2,3,0.0366319302732656,0.591974572904251,0.0335235998029727,1.75,0.0515298827566485,0.1451612903225806,1.0,0.562,3,IV
0,1.449173735351898,1,0,Graduate,Married,$80K - $120K,Blue,1.6269146233977598,6,2,2,0.3360783851356049,0.6738180373460468,0.3145481412800974,0.519,0.0446668573062625,0.1129032258064516,0.714,0.135,3,IV
0,1.076069897513086,0,1,Graduate,Single,Less than $40K,Blue,0.0023295843172804,4,2,1,0.0629336380703616,0.7604290822407628,0.0464462666241706,0.51,0.0513011152416356,0.2661290322580645,0.483,0.544,3,IV
0,1.076069897513086,0,3,Graduate,Married,Less than $40K,Blue,0.0023295843172804,6,2,3,0.0482711917696816,0.9129916567342072,0.0212673485353345,1.724,0.0781812982556477,0.217741935483871,1.176,0.757,5,VI
0,-0.540713399788432,0,4,High School,Married,Less than $40K,Gold,0.0023295843172804,2,3,3,0.42308564380232,0.0,0.4470779126705879,0.865,0.0260794967114669,0.0967741935483871,1.2,0.0,1,II
0,-0.1676095619496201,1,3,Graduate,Single,$80K - $120K,Blue,0.6271699839636188,2,2,2,0.9368154375908844,0.2296384584823202,0.9226957957870948,1.042,0.034257935373177,0.1451612903225806,0.474,0.018,1,II
0,0.454230167781733,0,1,Graduate,Single,$40K - $60K,Silver,0.877106143822154,3,2,3,0.4796494314900975,1.0,0.4283603279923507,1.449,0.0712610809265084,0.1854838709677419,1.2,0.145,4,V
0,0.3298622218354624,1,3,High School,Married,$60K - $80K,Blue,0.1272976642465481,5,2,1,0.0746031314148202,0.0,0.1130878219801234,1.214,0.0712610809265084,0.1774193548387097,1.0,0.0,0,I
0,0.3298622218354624,1,4,Uneducated,Single,$80K - $120K,Blue,-0.7474788952583253,3,2,3,1.0000000000000002,0.0,1.0,1.621,0.0534172147555047,0.1451612903225806,1.333,0.0,1,II
